"ID_Year","x","y","count"
"2","W0004 2004",1448014.9849389,6793781.35464621,3519
"3","W0004 2005",1445711.8,6800276.6,5
"4","W0004 2006",1446791.39702833,6797737.36489288,2894
"5","W0004 2008",1449206.91296247,6797695.19323929,3757
"6","W0004 2009",1447802.00937275,6798157.86733958,1387
"7","W0010 2006",1456336.48401826,6801777.53481735,1752
"8","W0010 2008",1455417.32479079,6802339.42808577,3824
"9","W0012 2007",1464602.73991818,6813008.48772648,3422
"10","W0012 2008",1463758.28357588,6813162.23617464,2405
"11","W0012 2009",1464573.5625,6809121.15625,160
"12","W0013 2008",1360650.54698243,6811715.54927426,2618
"13","W0013 2009",1362040.80314574,6807427.98279676,4069
"14","W0013 2010",1403623.1,6842042.84846154,1300
"15","W0101 2008",1422138.60821073,6851792.2024205,4214
"16","W0101 2009",1416742.11195929,6856151.08142494,393
"17","W0104 2009",1496187.23800384,6812122.82264875,2605
"18","W0104 2010",1492869.37846732,6810507.66478608,4254
"19","W0104 2012",1491378.21707757,6811339.53788334,3326
"20","W0104 2015",1492973.05705157,6814457.06389776,2191
"21","W0104 2016",1488409.6043585,6815330.02486188,3258
"22","W0104 2017",1489254.97882465,6816143.42541042,4203
"23","W0104 2019",1489095.11398355,6816522.85546416,1702
"24","W0109 2004",1469399.31056564,6817470.54820349,2811
"25","W0201 2003",1359630.53246753,6794440.45021645,462
"26","W0208 2004",1477751.22219077,6820865.35550524,3533
"27","W0208 2005",1480554.05092402,6820761.44558522,2435
"28","W0209 2004",1468771.20504202,6821506.84257703,1785
"29","W0209 2005",1470738.91733227,6817599.33027157,2504
"30","W0209 2007",1469258.38121841,6820028.32349029,3759
"31","W0209 2008",1467115.99030267,6820611.5624449,3403
"32","W0212 2005",1457210.16654439,6840637.84005869,2726
"33","W0212 2006",1458046.93507853,6840344.44816754,2865
"34","W0212 2007",1457769.12097304,6843119.93392505,3042
"35","W0212 2008",1458537.02625622,6840816.84789497,2209
"36","W0217 2007",1450150.77748494,6809652.96310241,2656
"37","W0217 2008",1450576.41054001,6809250.08880937,3074
"38","W0217 2011",1452873.09580116,6807251.6457529,4144
"39","W0217 2013",1453451.21229208,6805502.0287567,3547
"40","W0217 2014",1453578.67355372,6807000.04820937,726
"41","W0219 2008",1324242.36826347,6818269.51796407,334
"42","W0219 2010",1326108.96680851,6820906.9387234,1175
"43","W0219 2011",1329512.27906977,6819904.75581395,86
"44","W0228 2008",1432354.14361702,6792293.31570713,3196
"45","W0228 2009",1432916.50649351,6792394.80519481,77
"46","W0229 2004",1431035.15925603,6798937.80993897,3441
"47","W0229 2005",1432267.5424322,6798625.74978128,2286
"48","W0229 2006",1435113.625,6806853.375,40
"49","W0229 2010",1431010.10569898,6801104.94885533,4106
"50","W0230 2003",1459056.63743315,6801941.61853832,2805
"51","W0231 2006",1467597.69289617,6828393.59836066,1830
"52","W0231 2008",1471081.96238245,6829732.77063741,3828
"53","W0231 2009",1469501.44844417,6828555.59304454,3278
"54","W0237 2008",1435875.55382436,6837975.98441926,2824
"55","W0237 2010",1434636.80296557,6842022.0427243,3979
"56","W0303 2007",1440056.15276476,6805011.19868791,3201
"57","W0303 2009",1436535.21495767,6805867.62888053,2126
"58","W0303 2011",1442454.1487387,6802339.8184198,4202
"59","W0303 2013",1441817.58825248,6805804.49298656,3422
"60","W0323 2003",1433824.83464912,6811420.48157895,2280
"61","W0323 2004",1432421.54199726,6813213.49740082,3655
"62","W0323 2005",1431827.52476415,6812360.73466981,1696
"63","W0326 2008",1426484.6165817,6844847.53474644,3727
