sampleID,BearID,Year,BearYear,sex,birth,age,Repro,C13,N15,mass,headcirc,cortkit,cortisol,x,y
1068,W1608,2018,W1608_2018,F,2015,3,SolitaryF,-21.64,4.17,65,53.5,2,9.67,1432666.872,6817781.485
688,W0818,2010,W0818_2010,F,2007,4,SolitaryF,-22.15,4.03,48,50,2,6.11,1433003.954,6836764.096
675,W0611,2010,W0611_2010,F,2005,6,SolitaryF,-22.28,4.63,55,51,2,5.83,1463394.187,6812806.973
744,W0507,2008,W0507_2008,F,2004,5,SolitaryF,-22.31,4.39,96,63,2,7.54,1452020.603,6805625.217
674,W0610,2010,W0610_2010,F,2005,6,SolitaryF,-22.34,3.86,51,52,2,5.69,1467739.222,6816893.19
689,W0820,2010,W0820_2010,F,2007,4,SolitaryF,-22.4,4.14,57,53.5,2,7.69,1436148.399,6832539.622
665,W0013,2010,W0013_2010,M,1995,16,SolitaryM,-22.51,6.46,225,76,2,13.59,1403623.1,6842042.848
1087,W0605,2019,W0605_2019,F,2005,15,WithCubs,-22.52,4.53,82.5,59,2,8.47,1436726.935,6794446.175
1061,W1604,2018,W1604_2018,F,2015,3,SolitaryF,-22.52,4.47,71.4,55.5,2,4.91,1441797.537,6794518.552
526,W0422,2007,W0422_2007,F,2003,5,SolitaryF,-22.53,4.62,83,61,2,3.57,1449628.829,6794313.369
749,W0620,2008,W0620_2008,F,2005,4,SolitaryF,-22.54,4.69,77,58,2,9.21,1443485.003,6793737.437
733,W0013,2008,W0013_2008,M,1995,14,SolitaryM,-22.55,5.36,228,72,2,6.58,1360650.547,6811715.549
741,W0422,2008,W0422_2008,F,2003,6,SolitaryF,-22.55,4.18,82,62,2,8.8,1449923.658,6792281.645
856,W0826,2009,W0826_2009,F,1997,13,WithCubs,-22.55,4.11,83,62,2,10.04,1421501.4,6816306.23
1091,W1311,2019,W1311_2019,F,2012,8,WithCubs,-22.55,4.68,74,58,2,7.08,1329434.594,6777445.792
589,W0611,2012,W0611_2012,F,2005,8,SolitaryF,-22.57,5.51,79,54,2,13.91,1462956.294,6811862.728
684,W0806,2010,W0806_2010,F,2007,4,SolitaryF,-22.57,4.59,51,51,2,9.63,1454836.535,6794467.839
672,W0605,2010,W0605_2010,F,2005,6,SolitaryF,-22.58,4.74,73,57,2,5.61,1436318.452,6794532.028
1102,W1704,2019,W1704_2019,F,2015,4,SolitaryF,-22.59,3.85,60,51.5,2,8.79,1473494.107,6841297.643
731,W0004,2008,W0004_2008,F,1994,15,SolitaryF,-22.61,4.06,96,63,2,11.02,1449206.913,6797695.193
646,W0818,2011,W0818_2011,F,2007,5,SolitaryF,-22.61,4.3,54.5,53,2,6.01,1433088.009,6836308.732
739,W0231,2008,W0231_2008,F,1992,17,WithCubs,-22.63,4.86,83,67,2,8.8,1471081.962,6829732.771
1075,W1203,2018,W1203_2018,F,2008,11,WithCubs,-22.63,3.69,96,63,2,8.08,1428856.873,6823887.021
686,W0811,2010,W0811_2010,M,2007,4,SolitaryM,-22.65,5.22,76,61,2,5.75,1451951.743,6794745.43
799,W0610,2009,W0610_2009,F,2005,5,SolitaryF,-22.66,4.4,47,50,2,4.69,1468340.288,6817408.313
742,W0425,2008,W0425_2008,F,2000,9,SolitaryF,-22.68,4.31,105,NA,2,8.28,1462573.704,6813016.869
637,W0611,2011,W0611_2011,F,2005,7,SolitaryF,-22.68,4.47,81.9,56,2,6.74,1463502.955,6812065.637
975,W0621,2016,W0621_2016,F,2005,12,WithCubs,-22.68,3.67,82.8,59,2,8.12,1334994.149,6794633.145
636,W0610,2011,W0610_2011,F,2005,7,SolitaryF,-22.69,4.81,61.5,52,2,5.26,1468629.601,6817408.676
1078,W0706,2018,W0706_2018,F,2006,13,WithCubs,-22.69,4.11,87,62,2,5.38,1391492.527,6815213.566
745,W0610,2008,W0610_2008,F,2005,4,SolitaryF,-22.72,4.36,45,46,2,16.43,1467296.718,6817762.508
